
root@941b2594b68d:/osu-micro-benchmarks-5.3.2/build.openmpi/libexec/osu-micro-benchmarks/mpi# mpirun --allow-run-as-root -np 2 pt2pt/osu_bibw 2>null | tee /home/developer/data/osu_bibw.out
# OSU MPI Bi-Directional Bandwidth Test v5.3.2
# Size      Bandwidth (MB/s)
1                       6.80
2                      13.60
4                       6.53
8                      54.29
16                    107.45
32                    215.72
64                    327.63
128                   527.19
256                   922.58
512                  1621.60
1024                 2863.13
2048                 4102.16
4096                  789.06
8192                 1443.51
16384                2287.14
32768                3081.85
65536                3843.93
131072               4355.32
262144               4596.25
524288               4590.44
1048576              4617.25
2097152              4931.40
4194304              5030.27

